estimator_group;estimator;scenario;dataset;total_accuracy;bot_precision;bot_recall;bot_f1-score;bot_support;nonbot_precision;nonbot_recall;nonbot_f1-score;nonbot_support;nonbot_occurrences_in_training;bot_occurrences_in_training;true_negative;false_positive;false_negative;true_positive
H2O;ANTE-H2;ISOT_metrics;anticipation;1.0;1.0;1.0;1.0;7;1.0;1.0;1.0;18;18;7;18;0;0;7
H2O;ANTE-H2;ISOT_metrics;testing;0.9846153846153847;1.0;0.9166666666666666;0.9565217391304348;24;0.9814814814814815;1.0;0.9906542056074767;106;106;24;106;0;2;22
AutoSklearn;ANTE-SK;ISOT_metrics;anticipation;1.0;1.0;1.0;1.0;7;1.0;1.0;1.0;18;18;7;18;0;0;7
AutoSklearn;ANTE-SK;ISOT_metrics;testing;0.9846153846153847;0.9583333333333334;0.9583333333333334;0.9583333333333334;24;0.9905660377358491;0.9905660377358491;0.9905660377358491;106;106;24;105;1;1;23
H2O;ANTE-H2;CTU_metrics;anticipation;1.0;1.0;1.0;1.0;1;1.0;1.0;1.0;12;12;1;12;0;0;1
H2O;ANTE-H2;CTU_metrics;testing;0.9855072463768116;0.975609756097561;1.0;0.9876543209876543;40;1.0;0.9655172413793104;0.9824561403508771;29;29;40;28;1;0;40
AutoSklearn;ANTE-SK;CTU_metrics;anticipation;1.0;1.0;1.0;1.0;1;1.0;1.0;1.0;12;12;1;12;0;0;1
AutoSklearn;ANTE-SK;CTU_metrics;testing;1.0;1.0;1.0;1.0;40;1.0;1.0;1.0;29;29;40;29;0;0;40
H2O;ANTE-H2;IoT_Dataset_HTTP_DDoS;anticipation;1.0;1.0;1.0;1.0;198;1.0;1.0;1.0;528;528;198;528;0;0;198
H2O;ANTE-H2;IoT_Dataset_HTTP_DDoS;testing;0.9668725435148793;0.8802030456852792;1.0;0.9362850971922246;867;1.0;0.9562152133580705;0.9776176024279211;2695;2695;867;2577;118;0;867
AutoSklearn;ANTE-SK;IoT_Dataset_HTTP_DDoS;anticipation;1.0;1.0;1.0;1.0;198;1.0;1.0;1.0;528;528;198;528;0;0;198
AutoSklearn;ANTE-SK;IoT_Dataset_HTTP_DDoS;testing;0.8127456485120719;0.56765899864682;0.9677047289504037;0.7155650319829424;867;0.9865642994241842;0.7628942486085343;0.8604310525214479;2695;2695;867;2056;639;28;839
H2O;ANTE-H2;CICDOS_metrics;anticipation;1.0;1.0;1.0;1.0;1;1.0;1.0;1.0;46;46;1;46;0;0;1
H2O;ANTE-H2;CICDOS_metrics;testing;1.0;1.0;1.0;1.0;4;1.0;1.0;1.0;317;317;4;317;0;0;4
AutoSklearn;ANTE-SK;CICDOS_metrics;anticipation;1.0;1.0;1.0;1.0;1;1.0;1.0;1.0;46;46;1;46;0;0;1
AutoSklearn;ANTE-SK;CICDOS_metrics;testing;1.0;1.0;1.0;1.0;4;1.0;1.0;1.0;317;317;4;317;0;0;4
